iter	Passed	Remaining
0	139	139806
1	140	70146
2	141	46926
3	141	35292
4	142	28306
5	142	23647
6	143	20315
7	143	17841
8	144	15905
9	145	14372
10	145	13114
11	146	12060
12	147	11169
13	147	10396
14	148	9723
15	148	9132
16	148	8613
17	149	8151
18	149	7737
19	150	7364
20	150	7026
21	151	6720
22	151	6439
23	152	6184
24	152	5949
25	153	5733
26	153	5533
27	154	5346
28	154	5171
29	154	5009
30	155	4857
31	155	4714
32	156	4580
33	156	4454
34	157	4334
35	157	4221
36	158	4113
37	158	4012
38	158	3917
39	159	3826
40	159	3740
41	160	3660
42	161	3583
43	161	3508
44	161	3437
45	162	3369
46	162	3303
47	163	3239
48	163	3179
49	164	3121
50	164	3064
51	165	3010
52	165	2959
53	166	2911
54	166	2865
55	167	2819
56	167	2776
57	168	2733
58	168	2691
59	169	2650
60	169	2610
61	170	2572
62	170	2535
63	170	2499
64	171	2465
65	171	2432
66	172	2399
67	172	2369
68	173	2338
69	173	2309
70	174	2282
71	174	2255
72	175	2229
73	176	2203
74	176	2177
75	177	2153
76	177	2129
77	178	2106
78	178	2082
79	179	2058
80	179	2041
81	180	2020
82	180	1996
83	181	1975
84	181	1955
85	182	1934
86	182	1915
87	182	1895
88	183	1876
89	183	1858
90	184	1840
91	184	1822
92	185	1805
93	185	1788
94	185	1771
95	186	1755
96	186	1739
97	187	1723
98	187	1708
99	188	1693
100	188	1679
101	189	1664
102	189	1651
103	190	1637
104	190	1623
105	190	1610
106	191	1597
107	191	1584
108	192	1571
109	192	1559
110	193	1547
111	193	1534
112	194	1523
113	194	1511
114	194	1500
115	195	1489
116	195	1477
117	196	1467
118	196	1456
119	197	1446
120	197	1435
121	198	1425
122	198	1415
123	198	1405
124	199	1395
125	199	1385
126	200	1375
127	200	1366
128	201	1357
129	201	1348
130	202	1340
131	202	1331
132	202	1322
133	203	1315
134	204	1307
135	204	1300
136	205	1295
137	206	1287
138	206	1280
139	207	1272
140	207	1264
141	207	1256
142	208	1248
143	208	1241
144	209	1233
145	209	1226
146	210	1219
147	210	1212
148	211	1205
149	211	1198
150	211	1191
151	212	1184
152	212	1178
153	213	1171
154	213	1165
155	214	1158
156	214	1152
157	215	1146
158	215	1139
159	215	1133
160	216	1126
161	216	1120
162	217	1114
163	217	1109
164	218	1103
165	218	1098
166	219	1094
167	219	1088
168	220	1083
169	220	1078
170	221	1073
171	221	1068
172	222	1063
173	222	1058
174	223	1052
175	223	1047
176	224	1042
177	224	1037
178	225	1032
179	225	1027
180	225	1022
181	226	1017
182	226	1012
183	227	1008
184	227	1003
185	228	998
186	228	994
187	229	989
188	229	985
189	230	980
190	230	976
191	230	972
192	231	967
193	231	963
194	232	959
195	232	955
196	233	951
197	234	948
198	234	944
199	235	941
200	235	937
201	236	933
202	236	929
203	237	925
204	237	922
205	238	918
206	238	914
207	239	910
208	239	906
209	240	903
210	240	899
211	240	895
212	241	891
213	241	888
214	242	885
215	242	881
216	243	878
217	243	874
218	244	871
219	244	867
220	245	864
221	245	860
222	246	857
223	246	854
224	247	851
225	247	848
226	248	844
227	248	842
228	249	838
229	249	836
230	250	833
231	250	830
232	251	827
233	251	824
234	252	821
235	252	818
236	253	815
237	253	812
238	254	808
239	254	805
240	254	802
241	255	799
242	255	796
243	256	793
244	256	791
245	257	788
246	257	785
247	258	782
248	258	779
249	258	776
250	259	774
251	259	771
252	260	768
253	260	765
254	261	763
255	261	760
256	262	757
257	262	755
258	263	752
259	263	750
260	264	748
261	264	745
262	265	743
263	265	741
264	266	738
265	266	736
266	267	733
267	267	731
268	268	728
269	268	726
270	269	723
271	269	721
272	269	718
273	270	716
274	270	714
275	271	711
276	271	709
277	272	706
278	272	704
279	273	702
280	273	700
281	274	697
282	274	695
283	274	693
284	275	691
285	275	688
286	276	686
287	276	684
288	277	682
289	277	680
290	278	678
291	279	676
292	279	674
293	280	673
294	280	671
295	281	669
296	282	667
297	282	665
298	282	663
299	283	661
300	283	659
301	284	657
302	284	655
303	285	652
304	285	650
305	286	648
306	286	646
307	286	644
308	287	642
309	287	640
310	288	638
311	288	636
312	289	634
313	289	632
314	290	630
315	290	628
316	291	627
317	291	625
318	292	623
319	292	621
320	292	619
321	293	618
322	294	616
323	294	615
324	295	613
325	295	611
326	296	609
327	296	607
328	297	606
329	297	604
330	298	602
331	298	600
332	298	598
333	299	596
334	299	595
335	300	593
336	300	591
337	301	589
338	301	587
339	301	586
340	302	584
341	302	582
342	303	580
343	303	579
344	304	577
345	304	575
346	305	574
347	305	572
348	305	570
349	306	569
350	306	567
351	307	565
352	307	564
353	308	562
354	309	561
355	309	559
356	310	558
357	310	556
358	311	555
359	311	553
360	312	552
361	312	550
362	312	549
363	313	547
364	313	545
365	314	544
366	314	542
367	315	541
368	315	539
369	316	538
370	316	536
371	316	535
372	317	533
373	317	532
374	318	530
375	318	528
376	319	527
377	319	525
378	320	524
379	320	522
380	320	521
381	321	519
382	321	518
383	322	517
384	322	515
385	323	514
386	323	513
387	324	511
388	324	510
389	325	509
390	325	507
391	326	506
392	326	504
393	327	503
394	327	502
395	328	500
396	328	499
397	329	497
398	329	496
399	329	494
400	330	493
401	330	492
402	331	490
403	331	489
404	332	487
405	332	486
406	333	485
407	333	483
408	333	482
409	334	481
410	334	479
411	335	478
412	335	477
413	336	475
414	336	474
415	337	473
416	337	472
417	338	470
418	338	469
419	339	468
420	339	467
421	340	466
422	340	464
423	341	463
424	341	462
425	342	461
426	342	459
427	343	458
428	343	457
429	343	455
430	344	454
431	344	453
432	345	452
433	345	450
434	346	449
435	346	448
436	347	447
437	347	445
438	347	444
439	348	443
440	348	442
441	349	440
442	349	439
443	350	438
444	350	437
445	351	436
446	351	434
447	352	433
448	352	432
449	353	431
450	353	430
451	354	429
452	354	428
453	355	427
454	355	426
455	356	424
456	356	423
457	357	422
458	357	421
459	357	420
460	358	419
461	358	417
462	359	416
463	359	415
464	360	414
465	360	413
466	361	412
467	361	410
468	361	409
469	362	408
470	362	407
471	363	406
472	363	405
473	364	404
474	364	402
475	365	402
476	366	401
477	366	400
478	367	399
479	367	398
480	368	398
481	369	397
482	370	396
483	370	395
484	371	394
485	372	393
486	372	392
487	373	392
488	375	391
489	375	391
490	376	390
491	377	389
492	377	388
493	378	387
494	379	386
495	379	385
496	380	384
497	381	384
498	381	383
499	382	382
500	382	381
501	383	380
502	384	379
503	384	378
504	385	377
505	386	377
506	386	376
507	387	375
508	387	374
509	388	373
510	389	372
511	389	371
512	390	370
513	390	369
514	391	368
515	391	367
516	391	366
517	392	365
518	392	364
519	393	363
520	393	362
521	394	360
522	394	359
523	395	358
524	395	357
525	395	356
526	396	355
527	396	354
528	397	353
529	397	352
530	398	351
531	398	350
532	399	349
533	399	348
534	400	347
535	400	346
536	401	345
537	401	344
538	401	343
539	402	342
540	402	341
541	403	340
542	403	339
543	404	338
544	404	337
545	405	336
546	405	335
547	406	334
548	406	333
549	406	332
550	407	331
551	407	330
552	408	330
553	408	329
554	409	328
555	409	327
556	410	326
557	410	325
558	410	324
559	411	323
560	411	322
561	412	321
562	412	320
563	413	319
564	413	318
565	414	317
566	414	316
567	415	315
568	415	314
569	415	313
570	416	312
571	416	311
572	417	311
573	417	310
574	418	309
575	418	308
576	419	307
577	419	306
578	420	305
579	420	304
580	420	303
581	421	302
582	421	301
583	422	300
584	422	299
585	423	298
586	423	298
587	424	297
588	424	296
589	424	295
590	425	294
591	425	293
592	426	292
593	426	291
594	427	290
595	427	290
596	428	289
597	429	288
598	429	287
599	430	286
600	430	286
601	431	285
602	431	284
